предмет='Web-технологии'; преподаватель='Синица'; курс=2,; кол-во лекций=35; кол-во практических=35; день недели=Пятница; время проведения=13:40
предмет='Алгебра'; преподаватель='Подгорная'; курс=1; кол-во лекций=19; кол-во практических=19; день недели=Вторник; время проведения=12:00
предмет='Алгоритмизация'; преподаватель='Долинский'; курс=4; кол-во лекций=30; кол-во практических=30; день недели=Понедельник; время проведения=13:00
предмет='Английский язык'; преподаватель='Ляпко'; курс=1; кол-во лекций=40; кол-во практических=40; день недели=Среда; время проведения=12:05
предмет='Биология'; преподаватель='Якубенко'; курс=2; кол-во лекций=10; кол-во практических=10; день недели=Пятница; время проведения=15:00
предмет='Высшая математика'; преподаватель='Старовойтов'; курс=1; кол-во лекций=50; кол-во практических=50; день недели=Среда; время проведения=11:00
предмет='Геометрия'; преподаватель='Короткевич'; курс=1; кол-во лекций=30; кол-во практических=30; день недели=Четверг; время проведения=14:00
предмет='Компьютерные сети'; преподаватель='Демуськов'; курс=3; кол-во лекций=50; кол-во практических=50; день недели=Вторник; время проведения=14:00
предмет='Операционные системы'; преподаватель='Гурский'; курс=2; кол-во лекций=20; кол-во практических=20; день недели=Понедельник; время проведения=13:00
предмет='Русский язык'; преподаватель='Мандрик'; курс=3, кол-во лекций=40; кол-во практических=40; день недели=Вторник; время проведения=13:45
предмет='Структуры данных'; преподаватель='Демуськов'; курс=2; кол-во лекций=35; кол-во практических=35; день недели=Вторник; время проведения=12:40
